id,node_type
14,formalParameters DOWN
87,typeArgumentsOrDiamond UP
99,classCreatorRest UP
119,elementValueArrayInitializer UP
156,defaultValue DOWN
153,annotationTypeElementRest UP
56,expressionList DOWN
91,lambdaParameters UP
51,localVariableDeclaration UP
10,typeArguments DOWN
129,constantDeclarator UP
130,constantDeclarator DOWN
55,expressionList UP
52,localVariableDeclaration DOWN
111,qualifiedNameList UP
47,parExpression UP
155,defaultValue UP
1,qualifiedName UP
70,typeArgument DOWN
17,statement UP
88,typeArgumentsOrDiamond DOWN
160,typeBound DOWN
106,switchBlockStatementGroup DOWN
123,annotationTypeDeclaration UP
71,interfaceBody UP
23,classBodyDeclaration UP
54,blockStatement DOWN
84,enumBodyDeclarations DOWN
2,qualifiedName DOWN
12,classOrInterfaceType DOWN
144,nonWildcardTypeArguments DOWN
112,qualifiedNameList DOWN
89,createdName UP
9,typeArguments UP
33,fieldDeclaration UP
72,interfaceBody DOWN
92,lambdaParameters DOWN
116,typeList DOWN
6,importDeclaration DOWN
60,typeParameters DOWN
8,annotation DOWN
37,constructorDeclaration UP
77,lambdaExpression UP
97,catchType UP
117,arrayInitializer UP
24,classBodyDeclaration DOWN
151,annotationMethodRest UP
69,typeArgument UP
105,switchBlockStatementGroup UP
121,annotationTypeBody UP
59,typeParameters UP
30,typeDeclaration DOWN
81,enumConstants UP
7,annotation UP
26,classBody DOWN
61,arguments UP
4,packageDeclaration DOWN
137,variableDeclarators UP
145,explicitGenericInvocationSuffix UP
3,packageDeclaration UP
34,fieldDeclaration DOWN
113,lastFormalParameter UP
62,arguments DOWN
38,constructorDeclaration DOWN
157,superSuffix UP
68,typeType DOWN
73,interfaceDeclaration UP
131,constDeclaration UP
118,arrayInitializer DOWN
46,formalParameterList DOWN
40,methodCall DOWN
21,methodDeclaration UP
125,resource UP
19,block UP
127,resourceSpecification UP
13,formalParameters UP
94,enhancedForControl DOWN
90,createdName DOWN
110,finallyBlock DOWN
42,arrayCreatorRest DOWN
139,elementValuePair UP
143,nonWildcardTypeArguments UP
102,genericMethodDeclaration DOWN
154,annotationTypeElementRest DOWN
66,interfaceBodyDeclaration DOWN
134,genericConstructorDeclaration DOWN
83,enumBodyDeclarations UP
35,formalParameter UP
53,blockStatement UP
85,enumDeclaration UP
20,block DOWN
32,compilationUnit DOWN
57,typeParameter UP
79,enumConstant UP
103,switchLabel UP
43,creator UP
109,finallyBlock UP
75,primary UP
50,variableDeclarator DOWN
27,classDeclaration UP
39,methodCall UP
142,elementValuePairs DOWN
136,resources DOWN
86,enumDeclaration DOWN
140,elementValuePair DOWN
148,explicitGenericInvocation DOWN
104,switchLabel DOWN
141,elementValuePairs UP
107,forControl UP
114,lastFormalParameter DOWN
133,genericConstructorDeclaration UP
44,creator DOWN
82,enumConstants DOWN
138,variableDeclarators DOWN
150,innerCreator DOWN
31,compilationUnit UP
128,resourceSpecification DOWN
58,typeParameter DOWN
80,enumConstant DOWN
28,classDeclaration DOWN
29,typeDeclaration UP
67,typeType UP
63,interfaceMethodDeclaration UP
96,catchClause DOWN
135,resources UP
152,annotationMethodRest DOWN
45,formalParameterList UP
22,methodDeclaration DOWN
16,expression DOWN
41,arrayCreatorRest UP
146,explicitGenericInvocationSuffix DOWN
122,annotationTypeBody DOWN
36,formalParameter DOWN
78,lambdaExpression DOWN
64,interfaceMethodDeclaration DOWN
126,resource DOWN
15,expression UP
65,interfaceBodyDeclaration UP
95,catchClause UP
98,catchType DOWN
115,typeList UP
5,importDeclaration UP
25,classBody UP
120,elementValueArrayInitializer DOWN
48,parExpression DOWN
101,genericMethodDeclaration UP
149,innerCreator UP
93,enhancedForControl UP
18,statement DOWN
11,classOrInterfaceType UP
49,variableDeclarator UP
108,forControl DOWN
159,typeBound UP
132,constDeclaration DOWN
76,primary DOWN
158,superSuffix DOWN
100,classCreatorRest DOWN
147,explicitGenericInvocation UP
74,interfaceDeclaration DOWN
124,annotationTypeDeclaration DOWN
