id,path
13347,19 17 19 17 19 63 71 72
5986,35 45 13 63 64 20 54 52
15478,35 45 46 36 68 12
9269,15 55 39 15 39 125 127 128
12244,55 56 16 16 40 56 76
13703,25 27 23 25 26 24 102 60 58
9563,67 33 23 25 26 24 8
2852,67 33 34 50 40
5225,75 76 16 16 76
14885,55 61 43 15 77 55 56 78
3374,67 33 34 50 16
8780,39 77 39 49 51 53 54
11605,55 39 15 77 55 39 15 15 16
4148,39 15 55 56 78 92
5595,87 89 43 15 39 40
5784,55 39 77 15 17 18
7081,135 136 126
15238,61 43 15 61 43 15 125 135 136 126
2,3 4 2
14902,39 15 39 15 15 17 17 19 20 18
6142,55 39 125 127 128
12542,11 93 94 40
4645,39 15 17 17 17 19 17 19 20
143,35 45 13 37 38 20
1919,11 93 94 16
3167,15 55 39 15 47 17 18 20
8181,39 15 77 39 49 51 53 54
10662,15 77 39 15 15 17 19 20
7574,15 55 39 17 19 20 18 40
14962,77 78 78 16 16
2050,75 76 16 16 40
3563,15 55 39 17 19 20 18 16
2046,19 77 55 39 15 49 51 53 54
3773,39 40 56 40 56 40
5214,19 109 17 19 109 17 19 20
14244,39 55 39 17 19 20 20
12472,19 17 19 17 19 63 71 72 64
15116,39 55 61 43 15 17 105 17 18 106 104
13416,19 109 17 19 17 19 17 19 20 18 40
3053,61 43 15 17 105 17 19 20
7000,39 55 39 17 19 20 18
9325,55 39 39 15 49 33 34
15045,35 45 13 37 38 112
9726,39 15 117 41 43 15 39 40
3034,15 39 39 40
13349,59 73 74 72 132 130
3504,19 17 19 17 17 19 17 19 20
9215,19 37 25 27 19 20 54 52 12 10
6804,75 55 39 47 17 18 20
14058,55 61 43 15 77 55 56 16
1684,75 76 16 16 16
12426,9 11 57 59 73 74 72 64 12
8814,143 147 148 146 62
12631,25 99 43 15 129 131 71 72 66 64 68
7044,39 40 56 40 56 76
14498,15 39 77 55 39 15 17 18
15378,55 39 15 49 51 53 105 106 54 52
5300,61 43 15 17 17 105 17 18 106 104
14192,77 39 15 49 51 53 19 20 18 16 16
4398,11 27 28 26
14232,55 61 43 15 77 55 56 40
12412,73 74 116 12 10 12
12444,15 16 44 62 16 76
4618,67 63 64 14
9514,87 89 43 44 62 16 12
1948,87 89 43 44 62 16 16
