id,node_type
15,TemplateStringLiteral DOWN
117,Class UP
254,Instanceof DOWN
275,MinusAssign DOWN
285,reservedWord DOWN
246,classDeclaration TOP
289,getter TOP
17,varModifier UP
286,keyword DOWN
190,Let UP
71,Comma UP
197,caseClause DOWN
14,literal DOWN
147,arrayLiteral TOP
131,objectLiteral DOWN
78,Return DOWN
64,StringLiteral UP
54,expressionStatement DOWN
174,tryStatement DOWN
223,Extends UP
95,Typeof UP
72,This DOWN
88,Colon DOWN
243,Ellipsis UP
255,In UP
293,Static UP
19,eos DOWN
143,elementList TOP
167,MoreThan UP
303,lastElement DOWN
85,sourceElements TOP
218,setter TOP
239,Delete DOWN
3,singleExpression UP
139,DecimalLiteral UP
42,expressionSequence DOWN
221,defaultClause TOP
106,formalParameterArg UP
121,For DOWN
61,SemiColon UP
100,New DOWN
238,NotEquals DOWN
296,HexIntegerLiteral DOWN
24,OpenParen DOWN
169,functionDeclaration DOWN
7,identifierName DOWN
228,Divide UP
251,setter UP
263,assignmentOperator DOWN
60,If DOWN
49,variableDeclaration DOWN
205,caseClauses UP
93,Or DOWN
43,CloseBrace UP
194,Case UP
10,ifStatement TOP
96,NullLiteral DOWN
126,arrowFunctionParameters UP
12,block DOWN
58,ifStatement DOWN
124,classElement TOP
37,statement UP
185,Catch UP
52,OpenBrace UP
171,QuestionMark UP
80,CloseBracket DOWN
149,IdentityNotEquals DOWN
209,caseBlock DOWN
225,MultiplyAssign UP
253,PlusPlus DOWN
128,arrowFunctionBody UP
283,lastArgument UP
258,Continue UP
302,Modulus UP
210,defaultClause DOWN
240,Throw UP
103,arrowFunctionBody DOWN
214,switchStatement TOP
281,While UP
306,continueStatement DOWN
276,BitOr UP
120,iterationStatement DOWN
202,caseBlock TOP
260,PlusAssign UP
76,ARROW DOWN
99,ARROW UP
180,catchProduction TOP
109,classElement UP
157,LessThan DOWN
249,statement TOP
201,defaultClause UP
295,BitAnd DOWN
299,Modulus DOWN
91,IdentityEquals DOWN
298,MultiplyAssign DOWN
158,Import UP
256,Throw DOWN
262,labelledStatement UP
162,iterationStatement UP
261,assignmentOperator UP
32,variableDeclaration TOP
207,breakStatement DOWN
83,BooleanLiteral DOWN
79,OpenBracket UP
226,LessThan UP
35,variableDeclarationList UP
41,EOF DOWN
29,arguments TOP
204,Switch UP
13,CloseBrace DOWN
94,Delete UP
151,Import DOWN
217,breakStatement UP
86,IdentityEquals UP
135,propertyAssignment UP
148,Minus DOWN
48,variableDeclarationList DOWN
112,methodDefinition DOWN
192,RegularExpressionLiteral UP
39,sourceElements UP
137,propertyAssignment DOWN
152,BooleanLiteral UP
82,OpenBracket DOWN
1,Identifier UP
119,And UP
107,formalParameterList UP
271,MinusMinus UP
77,Colon UP
9,expressionSequence UP
26,expressionStatement TOP
144,Minus UP
292,MinusMinus DOWN
307,Switch DOWN
189,RegularExpressionLiteral DOWN
108,methodDefinition UP
229,PlusAssign DOWN
216,caseClause TOP
145,objectLiteral UP
18,variableStatement TOP
115,formalParameterList DOWN
233,sourceElement TOP
168,MoreThan DOWN
118,classTail UP
170,returnStatement TOP
179,tryStatement UP
45,TemplateStringLiteral UP
264,labelledStatement DOWN
44,expressionStatement UP
73,This UP
259,labelledStatement TOP
101,methodDefinition TOP
6,singleExpression DOWN
87,DecimalLiteral DOWN
90,Typeof DOWN
280,Ellipsis DOWN
153,CloseBracket UP
68,statementList TOP
195,caseClause UP
36,variableStatement UP
114,classTail DOWN
188,throwStatement TOP
234,variableDeclarationList TOP
156,IdentityNotEquals UP
236,Equals_ DOWN
130,Class DOWN
164,functionDeclaration TOP
274,MinusAssign UP
187,finallyProduction TOP
278,reservedWord UP
284,lastArgument DOWN
40,program TOP
198,caseBlock UP
27,StringLiteral DOWN
252,Instanceof UP
46,literal UP
59,If UP
102,And DOWN
89,Or UP
206,setter DOWN
81,Return UP
56,sourceElements DOWN
277,keyword UP
208,switchStatement DOWN
301,eos TOP
66,ifStatement UP
215,caseClauses DOWN
300,LeftShiftArithmetic DOWN
220,arrowFunctionParameters TOP
55,functionBody DOWN
8,Identifier DOWN
69,NullLiteral UP
219,Case DOWN
266,generatorMethod TOP
70,Comma DOWN
184,Catch DOWN
237,NotEquals UP
16,Const UP
11,statement DOWN
125,arrowFunctionBody TOP
75,QuestionMark DOWN
291,EOF UP
235,In DOWN
28,OpenParen UP
51,block TOP
193,functionDeclaration UP
270,emptyStatement DOWN
2,identifierName UP
116,formalParameterArg DOWN
20,SemiColon DOWN
268,Let DOWN
282,While DOWN
163,For UP
305,formalParameterArg TOP
250,Divide DOWN
127,arrayLiteral DOWN
279,lastFormalParameterArg DOWN
196,caseClauses TOP
294,BitAnd UP
111,classElement DOWN
245,Continue DOWN
129,New UP
84,block UP
63,Assign DOWN
272,emptyStatement UP
138,Var UP
242,Multiply UP
273,lastFormalParameterArg UP
175,Try DOWN
5,arguments DOWN
98,Not DOWN
146,elementList UP
74,Default UP
150,Super UP
186,Finally UP
257,generatorMethod DOWN
22,CloseParen UP
244,PlusPlus UP
122,arrowFunctionParameters DOWN
31,Assign UP
232,Export DOWN
230,Else UP
134,propertyName UP
92,Const DOWN
123,propertyName DOWN
67,functionBody UP
97,Not UP
133,numericLiteral DOWN
23,OpenBrace DOWN
154,Super DOWN
227,Multiply DOWN
142,elementList DOWN
267,generatorMethod UP
290,throwStatement DOWN
173,Else DOWN
212,getter UP
248,classDeclaration UP
160,arrayLiteral UP
178,Try UP
30,CloseParen DOWN
224,Export UP
211,Default DOWN
183,Finally DOWN
222,Extends DOWN
231,expressionSequence TOP
25,Dot DOWN
161,iterationStatement TOP
140,numericLiteral UP
269,GreaterThanEquals DOWN
287,Break UP
65,Function UP
136,objectLiteral TOP
34,variableDeclaration UP
38,sourceElement UP
297,HexIntegerLiteral UP
213,Break DOWN
155,LessThanEquals DOWN
33,arguments UP
176,tryStatement TOP
172,returnStatement UP
177,catchProduction DOWN
53,statementList DOWN
165,Plus DOWN
288,breakStatement TOP
4,singleExpression TOP
62,eos UP
182,finallyProduction DOWN
110,classTail TOP
247,classDeclaration DOWN
47,Function DOWN
113,returnStatement DOWN
199,switchStatement UP
141,propertyAssignment TOP
200,getter DOWN
21,Dot UP
50,statementList UP
241,throwStatement UP
181,catchProduction UP
304,lastElement UP
105,varModifier DOWN
265,GreaterThanEquals UP
159,LessThanEquals UP
191,formalParameterList TOP
104,variableStatement DOWN
132,Var DOWN
166,Plus UP
57,sourceElement DOWN
203,Equals_ UP
