id,path
5959,1 3 3 3 3 9 26 19
11024,1 3 4 6 6 6 165
692,1 3 3 3 3 9 26 19 20
7945,62 44 37 68 11 54 42 6 76
4744,22 4 55 56 57 11 54 42 6 8
8364,1 2 3 3 3 4 5 6 122 24
4884,97 4 6 6 6 6 6 8
11032,1 3 3 4 6 6 227
8511,1 2 3 3 3 4 5 6 122 30
4244,22 33 3 9 44 37 68 11 58 24
5135,1 3 3 3 3 4 165
6894,28 29 6 5 6 5 6 131 137 88
5607,71 9 4 30
3069,1 262 37 38 39 40 20
9361,1 3 3 3 3 4 168
10286,22 33 3 9 44 37 68 11 58 30
8821,74 37 38 85 57 11 54 19
2287,71 9 4 24
10172,86 3 4 6 42 6 6 42 6 102
2865,62 44 37 68 11 54 42 6 63
1512,62 44 37 38 39 40 8
1802,43 193 37 38 85 57 11 169 47
3092,62 44 37 38 39 40 13
12658,28 33 3 9 44 37 68 11 207 213
2256,194 195 205 202 210 88
11509,21 3 9 214 209 215 197 219
4097,22 33 3 9 44 37 68 11 58 60
8485,1 2 3 3 3 4 5 6 122 8
2244,43 193 37 38 85 57 11 169 30
2226,139 140 46 3 4 227
6899,71 29 6 131 137 8
11090,21 3 3 33 3 33 3 3 4 25
11768,71 191 116 6 14 133 87
255,16 17 36 37 68 11 104 105 92
4580,1 3 3 4 6 5 6 14 27
9248,52 84 37 68 11 12 53 11 12 23
4352,43 193 37 38 85 57 11 169 13
3490,71 29 6 131 137 88
4364,43 193 37 38 85 57 11 169 23
4350,43 193 37 38 85 57 11 169 24
13137,1 3 3 4 6 14 15
7180,61 62 44 37 38 85 57 11 270 20
9812,230 66 37 38 85 57 11 58 30
6951,21 3 3 3 3 9 161 11 12 13
10388,1 32 6 5 6 5 6 6 6 25
11658,73 3 3 4 6 5 6 6 6 72
4375,224 38 85 57 11 54 42 6 6 8
6670,1 3 3 4 6 14 27
9572,31 4 6 131 137 6 5 6 122 8
9808,230 66 37 38 85 57 11 58 24
11008,79 3 4 6 8
4361,43 193 37 38 85 57 11 169 8
11646,71 9 4 47
6961,77 135 136 137 6 6 14 27
7323,61 62 44 37 68 11 54 19 30
8806,62 44 37 68 11 54 42 6 168
2861,28 29 6 42 6 14 133 87
145,61 62 44 37 68 11 54 19 20
1517,158 40 56 57 11 54 19
6392,1 3 3 3 3 9 26 19 41
1639,79 147 142 6 127 142 6 131 70
6366,139 140 46 3 4 165
6725,73 3 3 4 6 5 6 6 7 8
1753,79 3 4 7 8
1388,1 3 3 4 5 6 122 8
3303,99 3 3 9 26 19 20
6396,89 3 9 26 19 41
8021,31 3 9 44 37 66 37 50 51 13
11004,1 3 3 4 6 14 96
1630,79 147 142 6 127 142 6 131 23
10848,71 33 3 231 70
11927,52 164 55 56 57 11 120 49 8
6214,77 195 196 197 88
1717,22 33 3 3 4 5 6 5 30
11591,21 3 3 4 5 6 5 6 131 13
2709,1 3 3 4 5 6 131 137 257 24
8289,52 51 53 11
7264,22 33 3 3 4 5 6 5 24
9592,79 3 4 6 82
5297,226 3 9 44 37 50 51 13
6421,1 3 3 4 6 14 83
10562,1 3 3 3 135 136 137 123 27
13206,21 3 4 6 114 111 112 55
4024,1 212 135 145 3 3 9 26 19 20
7996,1 3 3 9 10 11 54 19 20
9604,21 3 9 214 209 215 197 88
10953,59 66 37 66 37 68 11 58 30
6986,79 160 3 29 6 131 137 123 7 8
10863,243 304 146 147 70
6693,158 40 56 57 11 58 60
2192,194 195 205 202 210 211
10947,59 66 37 66 37 68 11 58 24
10355,1 3 4 6 6 14 27
371,86 3 3 9 10 30
6696,230 66 37 38 85 57 11 211
1765,224 38 85 57 11 54 42 6 5 70
4428,28 126 3 4 7 8
3644,153 160 3 29 6 131 70
326,62 44 37 68 11 54 42 6 8
6695,158 40 56 57 11 58 30
1594,79 147 142 6 127 142 6 131 137 88
12205,71 29 6 103 6 6 7 8
9635,77 216 53 11 58 11 12 13
12260,28 126 4 103 55 56 57 11 120 121
529,22 4 55 56 57 11 104 19 20
12888,43 128 3 3 9 44 37 50 51 13
1242,21 3 4 6 114 111 112 13
12788,22 33 3 3 4 5 6 7 8
3973,59 66 37 38 39 67 135 136 137 30
1394,21 3 4 6 114 111 112 30
3624,22 33 3 3 4 5 6 6 25
8284,1 3 3 4 5 6 122 24
9312,1 3 4 6 6 14 96
9811,22 33 3 9 44 37 10 173
10708,1 3 146 160 3 146 147 80
3919,1 3 3 3 3 33 3 3 4 25
8780,3 3 4 157
7629,1 3 9 44 37 38 39 67 125 13
6702,158 40 56 57 11 58 24
10861,79 160 3 9 4 30
1240,21 3 4 6 114 111 112 23
5872,1 3 3 4 5 6 122 30
884,21 3 4 6 114 111 112 24
6039,43 128 3 135 136 137 6 103 13
6630,62 44 37 68 11 54 42 6 30
1583,71 143 6 131 70
6187,21 3 9 172 37 50 195 205 202 13
12334,99 3 3 9 26 19 41
9348,3 3 4 168
7240,22 4 55 56 57 11 120 42 6 168
340,62 44 37 38 85 57 11 12 13
6217,77 195 196 197 219
8200,22 4 55 56 57 11 120 42 6 157
9116,1 3 135 145 3 135 145 3 29 30
