id,token
2001,cancel
2887,base|version
5314,upload
392,srcmaptooldistance|tooljs
5403,atomincompatiblepackages
2078,prj|path
5135,binsh
279,unlocking|keychain|processenvatom|mac|code|signing|keychain
4312,is|map|geometry|event
4711,version|container
988,f|handler
4441,pick
4870,js|spec
4981,expected|path
2380,line|for|row
5049,watch|package
3450,coreutilmarker
4914,remove|transpiler|config|for|path
490,corecanvas
3773,remove|project
79,!
1589,overlay|layer|renderer
4952,evenodd
529,#
608,utilcommon
2360,$
3287,%
2743,&
2888,usage|$|options
5102,adds|a|status|bar|tile
1437,crash|reporter
12,(
10,)
794,set|line|dash
13,require
535,*
5029,fixturestypescriptvalidts
246,+
153,-
1154,click
2421,symbol|in|styles
9,.
343,/
2651,column|number
4144,map|anim|player
526,size
1550,get|round|num
1138,left
3210,do|remove
45,:
8,;
2505,items|class|list
200,<
15,=
1867,decoration|manager
251,>
1386,intermediate|app|path
40,?
227,object
1566,text|align
3723,combinator
2460,authenticate
4451,role
3046,arc|conf
2309,module|name
1032,total|height
611,supports|passive
860,marker|line|width
49,result
2225,query|selector|all
2920,and|call|fake
4435,default|repository|path
604,off|canvas
5214,checkbox
1118,multi|polygon
1972,touchstart|mousedown
54,[
2990,use|babel
5468,after
2840,f|ext
5160,\
55,]
3404,connect
3784,^
2485,get|event|params
3824,rebuild
789,a
1245,open|metrics|package
2097,b
1072,c
903,d
125,e
4920,output|code
987,f
341,g
1741,h
2933,srcindexjs
170,i
1091,j
4068,parent|suite
615,device|pixel|ratio
3362,k
1075,l
1087,conn|source
1731,m
3101,command|resultargsjoin|)}|exited|with|code|resultstatus
1740,n
4791,remove|at|key|path
285,p
1219,the
2311,q
211,r
1628,destroyed
4615,add|success
295,s
298,t
4694,x|dff
760,throw
3354,u
466,v
3251,error|code
41,w
133,x
5088,reset|state
138,y
3856,kwd
236,z
583,infinity
2206,state|deserializer
11,{
1970,|
4,}
3575,colorhexcase
4037,set|max|listeners
4614,add|spy
3680,~
4609,emits|a|success|notification|when|add|success|has|been|called
4823,update|title
309,resolve
1937,mousewheel
5023,updateavailable
5055,libupdatemanager
5281,release|suffix
1594,span|stylecolorffffontsize|px|span
3230,closes|the|view|and|does|not|update|the|cursor|position
1556,empty
2247,attach|to|dom
3324,strlen
2048,non|theme|packages
1911,intersection
2439,semver
2695,for|each|coord
4626,workerpool|workers|count|is
2894,is|signed|zip|branch
4622,utilcommonjs
495,export
5116,when|a|js|file|starts|with|use|babel
2379,build|random|line
4236,only|visible
828,srcconfigfile
2268,primaryline
4099,bc|rect
5284,distro|id
3248,row|line|number
1482,atomspecin
171,front|count
1650,resource|path
4215,min|size|in|kb
2338,base|url
3514,state|path
4423,invalid|option|warnings
2238,gitdiff
4485,geo|list
1611,maptalkszoom
2897,renderer|classes
4995,insufficient|permission|to|portable|atom|home|portable|home|path
567,pane|container
3812,get|next|update|promise
4969,temp|atom|config|path
1978,stroke|and|fill
3471,has|line|ending
1316,check|size
5514,get|active|pane|item
3277,chrome|driver|up
3661,default|priority
3270,browser|name
5077,unsupported
1879,provider
3962,is|package|active
753,root
1605,is|installed|as|community|package
4841,timed|out|waiting|on
5356,build|metadata
4746,start|id|for|scope
512,projection
3217,hard
3693,h|align
2867,with|the|following|licenses
2341,post|reposownerrepopulls
3515,error|reading|state|file|state|path
3524,new|gutter
4054,need|to|redraw
1531,setup|exe
2354,headers
4367,disables|auto|border|panning
5515,get|pane|items
4277,geometrygeometry
3476,iconset
4948,variable|declarator
1003,get|render|bbox
5225,checking|for|updates
3867,/^\/\*[^*]*\*+(?:[^*/][^*]*\*+)*\//
824,to|contain
5096,node|env
4489,altitude|property
4824,on|did|change|window|title
3323,string|width
3193,get|child|layer
875,has|own|property
4573,children|result
1905,rgba
2989,max|buffer|length|to|diff
3090,configcson
363,alpha|string
5194,benchmark|path
2794,apiupdatesx|releases
2586,dummy
2977,gitdiffshow|icons|in|editor|gutter
3207,sort|layers
1324,#|bbc|b
1886,tmp
2218,when|the|window|is|in|both|dev|mode|and|spec|mode
3738,taskcompleted
4868,transpile
1360,multi|path
3085,newfile
5197,textual|output
663,is|pane|resize|handle|element
2535,invalid|output|when|dumping|symbol|for|binary|path
1942,did|error
3071,default|spatial|ref
2491,set|info|window
3264,binary
4036,from|web|contents
3320,hash
4462,item|specificities
470,vector|layer
586,validate|bbox
809,prepare|canvas
4291,delta|y
4457,normalize|label
2726,save
3309,grammarselectorhide|duplicate|text|mate|grammars
214,to|equal
4907,atom|transpilers
1501,atom|executable|name
4195,titlebarnomenubaryeslocationyestoolbaryeszlookyes
3975,update|process|env
3125,tile|matrix|set|link
4761,new|state
1050,top
2193,listens
2573,too
3544,a|name|is|required|to|create|a|gutter
3702,get|align|point
2129,all|y
3811,get|active|packages
1459,have
5304,blob|service|client
4106,collision|weight
387,srccontrolindexjs
1106,text|wrap|width
2255,new|start
475,ie|specs
482,set|properties
2972,animation|id
2391,download|chromedriver|path
3096,closest|element
3032,compression|quality
546,get|projection
2719,some|content
2120,disable
4479,map|set|centerspec
3807,jsmap
5303,upload|asset
3776,codesign
1085,on|remove
2985,markers
1467,lodashtemplate
4752,end|id|for|scope
2514,token|processenvgithub|token
3668,welcomepanel
4032,respond|to
969,init|hooks
2707,restores|the|created|recovery|file|and|deletes|it
3862,com
5321,userpassatompackagepath
2403,play|state
4607,electronnotarize
2026,less|file|path
2394,exit|status
5285,httpsapi|tokenpackagecloudioapiv|reposatom|editorpackage|repo|namepackagesjson
3937,adds|an|icon|to|the|status|bar
943,cos
1800,arrows
4776,sent|object
2135,container|offset
2844,on|position|changed
3699,get|box|size
1610,level|dom
2790,apiupdatesx|nupkg
4343,view|history|count
1654,anunduplicatedinstalledpackage
4667,has|paired|character
19,function
5184,pipe
2624,lat
3455,no|img|found|for
2071,ellipse|hooks
5259,upload|linux|packages
2361,nestedul
2044,less
