id,node_type
32,classTail UP
159,And UP
279,BitNot UP
156,arrayLiteral TOP
222,setter UP
7,classDeclaration TOP
86,sourceElements TOP
101,Minus DOWN
197,lastElement DOWN
11,singleExpression UP
295,setter TOP
243,caseBlock DOWN
183,MoreThan UP
288,NotEquals DOWN
61,SemiColon UP
292,RightShiftArithmetic DOWN
90,If DOWN
96,variableStatement DOWN
36,sourceElements UP
158,OpenBracket UP
33,classDeclaration UP
122,DecimalLiteral UP
142,CloseBracket DOWN
105,numericLiteral DOWN
231,Instanceof DOWN
76,ifStatement DOWN
74,This DOWN
67,StringLiteral UP
94,variableDeclaration DOWN
16,classTail TOP
196,Typeof UP
136,Or DOWN
283,Ellipsis UP
38,EOF DOWN
256,keyword DOWN
88,varModifier UP
255,reservedWord DOWN
191,catchProduction UP
247,switchStatement UP
252,defaultClause TOP
31,Extends UP
195,NullLiteral DOWN
220,getter UP
129,elementList TOP
113,Const DOWN
189,PlusAssign UP
14,CloseParen DOWN
89,IdentityNotEquals DOWN
117,LessThanEquals UP
60,arguments TOP
318,BitXOr DOWN
212,Equals_ UP
18,Class UP
167,Plus UP
266,classElement TOP
109,returnStatement UP
141,For DOWN
228,MinusMinus UP
287,functionDeclaration DOWN
308,BitAnd DOWN
80,ifStatement TOP
187,New DOWN
23,formalParameterList UP
19,classElement DOWN
254,generatorMethod UP
120,assignmentOperator DOWN
65,CloseBrace UP
270,PlusAssign DOWN
40,identifierName DOWN
95,variableDeclaration TOP
305,BitAnd UP
20,methodDefinition DOWN
28,OpenParen DOWN
204,labelledStatement DOWN
215,Throw DOWN
301,Switch UP
99,MultiplyAssign UP
166,arrowFunctionBody UP
75,ifStatement UP
234,Continue DOWN
115,returnStatement TOP
131,LessThan DOWN
147,ARROW DOWN
140,OpenBracket DOWN
284,switchStatement TOP
126,LessThan UP
313,BitAndAssign UP
81,variableDeclaration UP
294,statement TOP
79,If UP
93,variableDeclarationList DOWN
181,continueStatement DOWN
193,catchProduction TOP
175,While DOWN
285,BitOr DOWN
149,arrowFunctionParameters TOP
160,Or UP
66,propertyName UP
155,elementList UP
145,ARROW UP
85,Return DOWN
123,numericLiteral UP
10,Super UP
138,iterationStatement UP
45,arguments UP
248,Modulus DOWN
261,caseClause TOP
246,caseBlock UP
3,formalParameterList DOWN
157,And DOWN
8,classTail DOWN
47,expressionStatement TOP
98,objectLiteral DOWN
278,BitNot DOWN
198,Ellipsis DOWN
277,MinusAssign DOWN
92,variableStatement TOP
306,LeftShiftArithmetic UP
135,IdentityEquals DOWN
64,functionBody UP
57,expressionSequence DOWN
226,MinusMinus DOWN
124,Delete DOWN
188,New UP
244,defaultClause DOWN
291,lastArgument UP
1,OpenParen UP
70,block UP
104,Colon DOWN
165,arrayLiteral UP
53,sourceElements DOWN
164,CloseBracket UP
300,lastFormalParameterArg UP
190,Catch UP
268,sourceElement TOP
103,propertyAssignment DOWN
307,BitOrAssign UP
107,IdentityNotEquals UP
151,PlusPlus UP
280,RegularExpressionLiteral DOWN
264,caseClauses UP
179,breakStatement DOWN
150,For UP
208,emptyStatement UP
51,formalParameterArg UP
311,BitXorAssign UP
97,TemplateStringLiteral DOWN
22,Comma UP
223,getter TOP
186,tryStatement DOWN
206,Case UP
112,varModifier DOWN
68,literal UP
114,objectLiteral UP
172,catchProduction DOWN
297,keyword UP
44,StringLiteral DOWN
46,expressionSequence UP
108,Return UP
260,finallyProduction TOP
21,Comma DOWN
192,tryStatement UP
9,Extends DOWN
125,TemplateStringLiteral UP
242,switchStatement DOWN
276,MinusAssign UP
258,caseClauses DOWN
302,eos TOP
2,methodDefinition TOP
119,objectLiteral TOP
177,MoreThan DOWN
173,BooleanLiteral DOWN
106,DecimalLiteral DOWN
62,eos UP
315,BitAndAssign DOWN
102,expressionSequence TOP
91,Delete UP
5,Identifier DOWN
71,statementList TOP
110,Colon UP
230,Instanceof UP
171,tryStatement TOP
26,This UP
42,singleExpression DOWN
211,throwStatement TOP
271,functionDeclaration TOP
213,In DOWN
316,HexIntegerLiteral UP
225,Switch DOWN
298,reservedWord UP
154,Divide DOWN
72,statementList UP
37,program TOP
139,iterationStatement DOWN
73,block TOP
148,Not DOWN
209,labelledStatement UP
239,Default UP
259,Finally UP
240,Typeof DOWN
235,continueStatement TOP
17,CloseBrace DOWN
214,throwStatement UP
82,variableDeclarationList UP
304,lastElement UP
163,GreaterThanEquals UP
221,setter DOWN
227,BitOr UP
