id,path
16197,160 11 46 75 34 71 55 76 90
5708,26 11 11 12 13 42 13 28
5854,26 11 11 12 13 42 13 21
274,6 41 11 12 13 21
16709,29 11 11 46 284 243 258 251 201
169,6 41 11 12 13 14
6123,26 11 11 12 13 42 13 14
7089,6 11 11 12 42 42 42 40 5
19332,108 115 57 42 42 42 42 57 42 5
2323,168 11 46 75 34 71 55 84 48 49
22126,22 46 138 34 71 55 56 48 49
235,6 41 11 12 13 28
1682,144 11 46 80 55 77 17
58,26 11 11 11 46 47 48 49
22502,167 12 42 42 42 42 42 42 42 5
12893,26 11 11 11 12 57 42 43 105 106
10770,6 11 11 12 42 42 42 42 5
10667,160 11 11 81 82 83 34 72 73 17
14675,183 11 11 11 11 11 11 12 177
10141,15 11 118 119 21
12831,159 11 12 42 57 42 148
10228,15 11 118 119 17
12813,6 11 11 45 11 60 42 5
6268,29 11 46 47 48 49
13207,26 11 11 12 57 42 13 28
2739,6 11 45 11 11 46 80 55 77 59
28242,158 11 60 42 98 103 104
1454,144 11 12 42 13 28
6373,199 11 11 45 11 11 46 47 48 49
8393,29 11 45 11 12 27
27370,6 11 11 11 46 80 55 56 48
11316,164 11 11 12 42 42 42 40 5
13183,26 11 11 12 57 42 13 14
1929,69 45 11 11 46 80 55 77 17
10071,6 51 23 11 45 11 46 47 48 49
18223,22 45 11 11 60 42 27
19427,15 119 103 42 98 17
27380,164 11 11 11 46 80 55 56 48
19619,15 119 103 42 98 21
2149,6 11 45 11 11 46 80 55 77 17
12805,6 11 11 11 46 11 11 12 42 28
13371,6 11 11 11 46 11 11 12 42 27
17512,26 11 11 46 75 34 71 55 84 85
12786,6 11 11 11 46 11 11 12 42 14
20117,6 11 11 11 46 11 12 42 140
14659,11 11 11 11 11 11 12 42
2976,6 11 60 42 132 133 42 13 14
22183,188 12 42 13 42 42 42 161
6442,29 11 11 45 11 12 42 152
4117,6 11 11 12 42 42 42 42 74
5348,6 254 118 114 11 81 82 92 48 49
283,69 80 55 77 78 55 56 48 49
11258,58 238 42 98 17
2087,29 11 46 47 48 104
22353,69 2 52 53 54 55 287 59
11034,168 11 12 42 42 42 27
21737,305 11 46 80 55 77 59
21857,6 95 42 42 57 42 42 42 40 5
3752,69 45 11 11 11 12 42 42 13 28
27822,1 75 34 71 55 96 48
16282,15 73 78 55 77 78 55 200 49
14410,168 11 12 42 42 42 5
13696,29 11 11 45 11 12 42 140
26417,29 11 45 11 12 104
11276,58 238 42 98 59
21835,15 119 103 42 98 59
23238,158 11 60 42 98 103 39 44
28105,203 68 11 118 119 103 42 132 142
10599,6 11 11 12 42 42 42 42 27
28093,203 68 11 118 119 103 42 132 140
26212,301 284 28
27885,6 51 23 272 34 71 55 56 48
26166,164 11 11 11 129 42 194
25631,29 11 45 11 12 137
19117,29 11 45 11 12 136
11833,29 11 11 12 13 42 42 42 74
17042,29 11 11 12 13 42 42 43 44
23122,29 11 45 11 12 177
5041,151 11 46 63 34 71 55 56 48 49
26408,69 11 11 129 42 42 5
12615,67 68 11 46 11 60 42 43 105 106
1157,145 12 146 52 53 54 55 56 48 49
26551,69 45 11 118 119 103 42 134 3 21
9424,6 11 11 11 46 11 11 12 42 154
1080,29 11 11 12 13 42 42 42 27
11610,69 80 55 77 78 55 56 48 14
8523,69 45 11 81 178 94 42 13 21
14029,160 11 46 75 34 71 55 84 48
20566,69 11 11 129 42 42 27
7793,69 45 11 81 178 94 42 13 14
8096,69 11 11 129 42 42 28
16810,188 12 42 13 42 42 42 74
3091,6 11 60 42 132 133 42 13 28
20906,188 12 42 13 42 42 43 44
13352,144 11 46 11 12 157
11889,69 45 11 81 178 94 42 13 28
19051,69 11 11 129 42 42 14
4645,168 11 12 42 42 40 5
23754,307 100 12 42 40 5
19003,164 11 11 46 11 11 129 21
15762,6 11 11 11 46 11 12 42 14
4933,22 129 42 27
27150,22 119 103 42 42 57 42 152
12161,6 11 11 11 46 11 12 42 5
20852,29 11 11 45 11 12 42 27
27536,69 272 34 72 70 34 72 73 169
1942,62 63 34 71 55 56 57 42 146 59
