id,node_type
247,Ellipsis UP
215,Typeof UP
283,generatorMethod DOWN
63,Not DOWN
55,arguments TOP
98,iterationStatement DOWN
42,returnStatement DOWN
159,Divide DOWN
158,MoreThan UP
115,DecimalLiteral UP
154,Equals_ UP
207,defaultClause TOP
287,BitNot UP
221,formalParameterList TOP
15,singleExpression UP
19,CloseBrace DOWN
111,PlusPlus DOWN
58,sourceElement DOWN
17,ifStatement TOP
107,BitOrAssign DOWN
255,Class UP
73,variableDeclaration TOP
248,lastArgument UP
1,SemiColon UP
224,LessThanEquals DOWN
99,Plus UP
152,QuestionMark UP
71,Assign DOWN
243,catchProduction UP
86,varModifier UP
175,arrowFunctionBody DOWN
114,LeftShiftArithmetic DOWN
219,formalParameterArg DOWN
80,Comma UP
265,MultiplyAssign DOWN
129,MinusMinus UP
183,arrowFunctionParameters DOWN
104,Comma DOWN
106,assignmentOperator DOWN
193,caseClauses UP
169,Super DOWN
216,In UP
179,functionBody UP
202,switchStatement UP
270,lastElement TOP
12,identifierName DOWN
121,throwStatement DOWN
57,sourceElements TOP
142,elementList TOP
200,caseClauses DOWN
18,block DOWN
174,propertyName DOWN
199,Default DOWN
204,switchStatement DOWN
225,LessThanEquals UP
284,Finally DOWN
147,arrayLiteral UP
35,expressionStatement TOP
36,eos DOWN
135,breakStatement TOP
109,Throw UP
164,continueStatement DOWN
276,HexIntegerLiteral DOWN
198,caseClause TOP
13,Identifier DOWN
137,BooleanLiteral DOWN
171,propertyAssignment TOP
49,sourceElements UP
145,elementList UP
160,IdentityEquals DOWN
23,Identifier UP
281,Modulus DOWN
43,Return DOWN
67,And UP
205,defaultClause UP
161,IdentityEquals UP
217,In DOWN
136,BooleanLiteral UP
119,expressionSequence TOP
232,keyword DOWN
149,objectLiteral DOWN
94,Colon DOWN
246,Ellipsis DOWN
87,And DOWN
48,sourceElement UP
176,arrowFunctionParameters UP
133,MinusMinus DOWN
66,variableStatement TOP
261,MinusAssign DOWN
239,Try UP
22,Delete DOWN
150,IdentityNotEquals DOWN
21,expressionSequence DOWN
162,Continue UP
238,Catch DOWN
211,While UP
256,Var UP
141,NullLiteral UP
156,Divide UP
166,TemplateStringLiteral DOWN
245,lastArgument DOWN
262,RegularExpressionLiteral DOWN
233,tryStatement DOWN
46,returnStatement UP
138,NotEquals UP
26,identifierName UP
72,Assign UP
226,functionDeclaration TOP
210,PlusAssign DOWN
126,Minus DOWN
44,OpenParen DOWN
4,statement UP
274,Do DOWN
289,labelledStatement DOWN
39,OpenBrace UP
227,functionDeclaration UP
32,This UP
83,LessThan DOWN
157,MoreThan DOWN
84,OpenBracket DOWN
85,Const UP
69,variableDeclarationList DOWN
259,Export UP
184,ARROW DOWN
267,BitOr DOWN
291,statement TOP
208,Switch DOWN
38,CloseParen UP
11,singleExpression DOWN
52,Not UP
91,Else UP
118,Multiply UP
59,StringLiteral UP
16,expressionSequence UP
253,Instanceof UP
181,arrowFunctionBody TOP
218,formalParameterList DOWN
148,objectLiteral UP
241,reservedWord UP
51,EOF DOWN
260,MinusAssign UP
187,arrowFunctionParameters TOP
223,TemplateStringLiteral UP
151,IdentityNotEquals UP
285,DivideAssign UP
60,literal UP
163,continueStatement TOP
131,iterationStatement TOP
24,arguments DOWN
78,variableStatement UP
139,NullLiteral DOWN
45,Return UP
195,defaultClause DOWN
77,Const DOWN
56,returnStatement TOP
8,CloseParen DOWN
240,keyword UP
3,expressionStatement UP
31,block TOP
263,RegularExpressionLiteral UP
93,CloseBracket UP
172,propertyAssignment DOWN
134,Break UP
244,tryStatement UP
190,caseClause UP
50,program TOP
228,Function UP
123,For DOWN
127,breakStatement DOWN
282,generatorMethod TOP
120,New DOWN
102,BitAnd DOWN
288,labelledStatement TOP
269,lastElement DOWN
5,statementList TOP
188,switchStatement TOP
128,Minus UP
74,Or UP
30,statementList UP
196,Case DOWN
14,Dot UP
96,assignmentOperator UP
201,caseBlock UP
144,elementList DOWN
41,If UP
110,throwStatement UP
185,Throw DOWN
251,emptyStatement DOWN
132,GreaterThanEquals UP
165,Continue DOWN
268,lastElement UP
140,NotEquals DOWN
177,functionBody DOWN
272,RightShiftArithmetic DOWN
189,caseBlock DOWN
178,sourceElements DOWN
