id,path
14446,11 12 13 14 15 228 53
11349,21 2 2 2 2 2 3 8 4 28
25008,31 2 96 8 20
6895,1 2 2 3 8 8 9 101 102
11319,31 3 8 8 4 8 8 8 8 20
25211,11 12 13 14 15 228 41
17183,33 34 2 70 172 67 8 19 20
24309,21 2 22 2 34 2 176 146 175 110
25244,11 12 13 14 15 228 28
20418,103 2 22 105 15 52 37 15 38 28
21737,11 34 2 136 8 4 8 93
19806,31 3 8 8 4 8 8 8 8 55
25682,35 146 175 8 8 8 8 8 8 18
3396,35 146 175 8 8 19 20
24477,94 3 8 144 53
5115,33 7 8 144 175 8 8 92
22020,103 2 34 2 22 51 15 52 53
2604,21 2 2 2 2 2 22 32 29 30
12432,33 7 8 144 175 8 9 49
3639,21 2 3 8 8 4 5
13368,44 127 13 12 13 14 15 38 62
22847,113 2 22 2 3 8 19 20
12870,44 23 13 14 15 114 29
17222,103 2 22 105 15 52 37 15 38 62
21231,94 176 146 175 8 155
2995,94 178 8 8 8 18
6920,21 42 2 176 145 2 22 131 29 30
1109,11 34 2 136 8 4 8 55
5340,47 48 2 7 8 8 8 8 20
4319,35 59 13 12 13 14 15 69 106
25468,21 42 2 176 145 2 22 131 29 41
20798,94 176 146 175 8 166
17268,33 7 8 144 175 8 8 55
14210,86 87 48 2 2 22 2 3 18
2220,91 12 13 14 15 16 17 8 4 5
8126,33 7 8 144 175 8 9 10
1691,11 51 15 52 37 15 38 79
22602,21 2 7 8 157 8 8 9 49
23976,142 2 2 22 2 3 8 17 8 80
25764,33 191 13 14 15 129 17 8 18
22348,150 2 34 2 2 2 2 3 4 28
19054,33 7 8 144 175 8 8 39
24322,156 2 22 51 15 16 17 8 8 20
13054,43 44 64 13 14 15 69 17 8 223
2936,33 7 8 144 175 8 8 18
1139,11 34 2 136 8 4 8 20
14283,21 74 8 17 8 19 20
25399,97 2 2 22 23 13 24 25 26 20
1027,11 34 2 136 8 4 8 18
16116,94 178 8 8 9 10
2846,33 7 8 144 175 8 8 20
19053,156 2 22 51 15 16 17 8 8 18
21292,216 2 22 12 13 14 15 38 62
4747,85 2 22 51 15 52 41
22902,35 59 13 14 15 114 116
10703,86 87 48 2 2 22 2 3 60
5305,47 48 2 7 8 8 8 8 55
10106,21 2 2 2 2 2 3 8 8 20
17235,103 2 22 105 15 52 37 15 38 5
12035,94 176 146 175 8 204
11323,21 2 2 2 2 2 3 8 8 18
17859,21 74 8 8 8 4 8 20
26226,11 12 13 14 15 16 17 8 17 231
7246,94 178 8 8 8 20
25873,104 2 3 8 8 9 101 102
2282,35 59 13 12 13 14 15 69 60
16086,94 178 8 8 9 49
14675,126 3 8 17 8 8 55
10650,11 34 2 2 2 165 2 7 28
19334,21 2 22 2 7 8 92
22339,150 2 136 8 8 8 19 20
9307,85 2 2 2 22 51 28
9586,11 51 15 16 29 28
5893,11 51 15 16 29 30
25417,33 158 3 157 8 8 237
2320,35 36 37 15 38 17 8 8 4 28
4201,85 2 22 51 15 52 53
8221,33 7 8 144 175 8 9 214
24180,43 44 64 13 14 15 69 17 8 112
2834,94 178 8 8 8 55
260,21 2 22 3 93
3643,81 2 2 2 22 23 13 40 36 41
26274,94 178 8 8 8 54
12690,104 2 22 2 3 8 20
529,21 2 3 8 8 8 18
21302,216 2 22 12 13 14 15 38 5
1762,11 34 2 2 136 8 8 19 20
19698,21 2 3 8 8 8 5
11857,58 145 2 176 145 2 22 131 29
18810,88 3 8 4 8 8 8 4 8 166
12693,150 2 70 71 77 29 30
16580,43 44 64 13 14 15 69 17 8 171
19190,104 2 22 2 3 8 18
24103,94 3 8 139 92
21831,31 3 8 157 161 162 57 15 38 28
24980,94 178 8 8 8 92
15996,94 178 8 8 8 93
22676,94 3 8 139 93
2529,35 36 37 15 38 17 8 8 4 5
16065,43 44 64 13 14 15 69 17 8 60
24887,84 3 8 8 17 8 100
20534,58 59 13 51 15 38 17 8 4 5
19149,81 2 2 2 3 8 8 19 20
5821,217 3 8 17 8 9 101 102
20832,104 2 3 8 4 54
10323,6 22 2 3 4 8 20
16848,21 2 22 3 41
2625,6 22 2 3 4 8 18
12895,44 23 13 14 15 114 116
3126,21 2 22 191 13 14 15 16 29 30
3556,21 2 3 8 8 4 28
8303,46 2 2 176 146 175 110
8381,128 131 17 8 4 8 144 175 110
18539,216 2 3 8 8 8 17 8 20
19297,35 59 13 12 13 14 15 69 215
13346,44 127 13 12 13 14 15 38 28
3202,122 124 13 40 180 184 185 41
23240,33 7 8 144 175 8 9 133
18504,21 2 22 3 28
540,1 2 2 2 2 2 2 22 3 28
22809,104 2 3 8 4 28
12410,35 3 161 162 57 15 16 29
7939,126 3 8 17 8 8 20
18819,94 178 8 8 9 133
18095,31 3 8 139 140 8 19 20
1120,81 138 140 54
24700,104 2 176 146 175 8 8 8 8 18
5046,104 2 176 146 175 8 8 8 8 20
10701,104 2 22 2 3 8 93
10715,104 2 22 2 3 8 92
12572,104 2 3 8 4 5
3745,31 2 96 8 60
6672,21 2 3 8 8 4 54
14285,156 2 22 51 15 16 17 8 4 28
21812,33 3 17 8 144 175 8 19 20
16624,58 59 13 51 15 38 17 8 4 28
17126,21 2 22 2 7 8 20
11380,21 2 2 2 2 2 3 8 4 5
20971,94 178 8 8 8 149
4332,35 59 13 12 13 14 15 65 29
17614,21 2 3 8 8 8 111
15811,113 2 22 2 22 23 13 40 36 41
19691,104 2 22 2 3 8 110
13939,104 2 22 2 3 8 115
8455,21 74 8 17 8 8 18
19953,21 2 3 8 8 8 93
14870,21 2 3 8 8 8 92
7840,33 7 8 144 175 8 19 20
9479,156 2 22 51 15 16 17 8 4 5
6843,21 74 8 17 8 8 20
23861,6 137 141 2 2 2 22 32 29 30
26284,113 2 2 2 176 146 41
19309,163 2 22 3 28
14601,21 74 8 17 8 9 10
20238,21 74 8 17 8 8 39
159,1 2 2 3 4 54
19822,1 2 2 2 3 8 17 8 8 155
25500,1 2 7 8 17 8 20
17400,94 176 146 175 8 5
19203,21 2 3 17 8 8 8 8 8 20
10631,43 44 64 13 14 15 69 17 8 18
4576,94 176 146 175 8 18
9100,43 44 64 13 14 15 69 17 8 20
26297,81 141 2 3 8 8 17 8 8 110
2579,94 176 146 175 8 20
21389,119 2 70 71 64 13 14 15 38 28
21456,33 105 67 144 175 20
17209,103 2 22 105 15 52 41
23096,21 42 2 3 8 8 8 4 8 18
10218,21 42 2 3 8 8 8 4 8 20
15344,21 70 83 13 14 15 38 15 52 53
9718,21 2 3 8 8 9 10
7667,1 2 2 3 8 28
9224,46 2 2 22 2 2 3 19 20
23697,33 2 2 136 8 8 9 101 102
10882,11 12 13 14 15 38 17 8 4 5
21845,21 2 3 8 8 8 28
24327,104 2 3 8 8 55
7481,1 2 2 3 8 18
1554,1 2 2 3 8 20
15492,21 70 83 13 14 15 38 15 52 41
11392,1 2 2 3 8 5
7342,21 2 2 22 2 22 32 29
1629,21 2 3 8 8 8 20
2274,104 2 3 8 9 10
24403,21 2 22 2 34 2 2 22 3 28
10295,31 3 8 8 8 8 17 54
7277,58 165 2 2 22 2 22 32 29
11620,21 2 3 8 8 9 49
10876,11 12 13 14 15 38 17 8 4 28
18143,81 2 2 2 3 8 8 8 20
9190,81 2 2 2 3 8 8 8 18
22287,104 2 3 8 8 28
7150,31 3 8 8 8 8 19 20
13203,104 2 3 8 8 18
9551,21 42 177 176 146 175 8 139 92
20528,104 2 3 8 8 20
6669,21 2 2 2 2 2 34 2 3 151
11828,21 42 177 176 146 175 8 139 93
2135,21 2 3 8 8 8 55
21593,45 51 17 8 8 4 8 19 20
22837,21 2 3 8 8 8 237
22016,11 12 13 14 15 38 17 8 4 54
9157,81 2 2 2 3 8 8 9 10
23794,21 42 2 2 2 2 7 8 9 10
22403,94 176 146 175 8 92
4786,1 2 2 2 3 8 17 8 8 5
16486,94 176 146 175 8 93
23806,21 74 8 17 8 4 5
21203,94 2 136 8 8 8 93
2967,94 176 146 175 8 100
18688,21 2 22 2 2 22 105 28
2990,94 176 146 175 8 110
19877,94 176 146 175 8 111
7472,104 2 3 8 9 214
4052,35 59 13 12 13 14 15 69 20
5626,21 2 2 2 2 2 3 8 8 39
1802,11 51 15 52 37 15 38 28
21558,6 219 158 2 34 2 22 32 29 30
24297,21 42 2 2 2 2 7 8 8 18
