id,path
13900,31 10 10 10 28 43 22 22 22 38
15606,16 58 21 22 22 22 22 22 22 23
617,119 124 125 126 88
7592,25 12 3 26 19 56 21 22 68
15972,16 10 10 40 22 29 196
17985,122 10 10 10 10 10 28 107
10803,16 58 21 22 22 22 22 22 22 38
15454,31 10 10 10 28 43 22 22 22 53
6339,24 25 89 3 13 124 131 132 15
12669,66 61 3 26 19 20 36
12802,80 10 11 10 10 11 10 10 40 81
16199,66 65 21 22 43 22 22 22 37 38
14221,109 111 22 171 164 22 22 23
7167,9 10 28 43 22 153 154 22 68
17773,16 58 21 22 22 22 22 22 22 51
16588,122 185 10 17 10 10 28 43 41
19190,235 75 89 3 4 5 173 216 15
19361,122 185 10 10 28 43 41
9225,16 58 21 22 22 22 22 22 22 53
11380,1 174 10 96 97 89 3 13 14 15
3453,57 58 21 22 22 22 22 22 37 38
10344,25 12 3 26 19 56 21 22 38
17388,99 185 10 162 163 164 22 29 30
13961,24 25 12 3 26 19 260 256 38
17521,119 162 184 10 162 184 10 40 239 38
4827,31 10 10 10 10 10 10 28 22 68
14015,24 25 12 3 26 19 260 256 41
16459,151 28 22 22 29 71 72
14122,9 10 28 22 43 22 169 51
19041,32 33 10 40 22 43 22 120
5397,31 10 10 10 28 43 22 22 22 23
11070,9 10 28 22 43 22 169 41
2601,25 12 3 26 19 56 21 22 23
20983,34 17 10 11 54 3 26 19 212 222
17992,122 10 10 10 10 10 28 190
21088,9 10 28 43 22 153 154 22 113
14013,24 25 12 3 26 19 260 256 51
14100,9 10 28 22 43 22 172 49
17019,187 10 28 22 43 41
17498,109 184 10 40 22 43 22 114
10194,32 10 11 58 19 48 18 19 48 49
16371,32 33 10 10 28 22 170 161 38
13672,189 10 17 10 28 186
8811,32 33 175 179 22 22 86
20481,25 12 3 26 19 56 21 22 114
1373,31 10 10 96 97 89 3 13 14 15
19218,235 75 76 77 78 22 153 154 22 23
1804,32 10 10 28 22 153 113
14340,9 10 28 22 22 43 22 169 38
9012,32 33 175 179 22 22 53
3710,42 96 214 78 38
7691,122 10 40 22 43 22 23
3292,25 12 3 26 19 56 21 22 107
7559,9 10 10 10 10 28 22 37 38
418,25 12 3 26 19 56 21 22 108
5348,32 10 10 28 22 153 123
1353,32 33 175 179 22 22 38
13880,227 28 22 22 37 38
17405,32 10 162 163 164 22 22 22 22 23
18337,8 132 140 18 19 56 21 22 107
18480,9 10 28 43 22 22 153 154 81
14132,9 10 28 22 43 22 172 15
12634,16 28 21 22 22 169 41
14822,181 10 162 163 164 88
5721,9 10 10 11 12 3 26 19 79 27
14988,32 10 11 58 19 48 18 19 48 15
9987,31 10 10 96 97 89 3 13 14 41
2366,31 10 10 10 10 10 10 28 22 23
18444,42 85 22 21 22 22 22 22 37 38
4549,42 96 214 78 27
1908,16 17 10 96 97 76 36 39
20012,16 168 10 17 10 28 22 29 71 72
8500,99 10 10 129 22 120
14503,31 10 10 162 184 10 40 81
16605,32 33 10 10 17 10 28 120
20123,16 54 3 54 3 26 19 20 36
8337,16 40 22 171 164 180 37 38
14442,32 33 10 10 17 10 28 114
9664,73 10 28 22 29 71 72
7798,32 10 10 10 10 28 22 22 22 23
8724,16 28 21 22 22 171 81
13032,16 28 21 22 22 172 49
17583,9 10 28 43 22 22 21 22 108
74,24 25 61 3 13 14 15
10594,119 124 131 132 140 18 19 127 156
10778,62 10 10 10 28 22 22 43 22 113
15432,235 75 89 3 26 19 79 77 78 38
5697,32 33 175 179 22 22 23
20849,119 25 12 3 26 19 20 36
