id,node_type
128,propertyAssignment TOP
239,BitAnd DOWN
114,ifStatement TOP
10,formalParameterList DOWN
268,defaultClause DOWN
310,BitNot UP
179,Ellipsis UP
40,EOF DOWN
195,Typeof UP
212,MoreThan UP
163,And UP
4,arguments DOWN
105,variableDeclaration TOP
216,setter UP
43,formalParameterList TOP
190,Throw DOWN
97,numericLiteral DOWN
210,Multiply DOWN
218,breakStatement DOWN
260,caseBlock TOP
123,Const DOWN
53,SemiColon UP
80,StringLiteral UP
156,arrayLiteral UP
175,OpenBracket UP
244,RightShiftArithmetic DOWN
31,OpenBrace DOWN
120,DecimalLiteral UP
5,CloseParen DOWN
2,singleExpression UP
35,classDeclaration UP
63,Extends UP
117,Minus DOWN
6,Identifier UP
238,classDeclaration DOWN
153,OpenBracket DOWN
92,varModifier UP
167,BooleanLiteral UP
235,switchStatement UP
106,propertyAssignment DOWN
38,sourceElements UP
44,Class UP
85,MinusMinus UP
79,returnStatement UP
72,MinusMinus DOWN
69,getter DOWN
102,variableStatement DOWN
161,PlusAssign DOWN
61,classTail UP
116,LessThanEquals UP
138,Plus UP
254,catchProduction UP
191,Equals_ UP
165,Ellipsis DOWN
185,arrowFunctionBody UP
198,Typeof DOWN
275,reservedWord DOWN
65,CloseBrace UP
58,expressionSequence DOWN
154,iterationStatement UP
34,classTail DOWN
130,TemplateStringLiteral DOWN
309,BitNot DOWN
166,And DOWN
50,arguments UP
183,ARROW UP
98,DecimalLiteral DOWN
313,lastFormalParameterArg UP
251,tryStatement TOP
15,formalParameterList UP
66,objectLiteral DOWN
68,PlusPlus UP
211,RegularExpressionLiteral DOWN
25,methodDefinition TOP
104,This DOWN
87,block UP
111,Delete DOWN
96,ifStatement UP
46,propertyName UP
112,variableDeclaration UP
121,numericLiteral UP
1,Super UP
220,PlusAssign UP
294,tryStatement DOWN
311,labelledStatement TOP
78,StringLiteral DOWN
157,elementList UP
297,BitOr UP
125,Colon DOWN
27,sourceElements DOWN
3,singleExpression TOP
162,LessThan UP
215,setter DOWN
108,If UP
221,classElement TOP
263,generatorMethod UP
290,BitAndAssign UP
206,variableDeclarationList TOP
291,Switch UP
217,Or UP
169,For UP
279,functionDeclaration DOWN
56,functionBody UP
23,identifierName DOWN
168,New UP
133,NotEquals DOWN
41,Comma UP
48,OpenParen UP
224,Case UP
12,Identifier DOWN
29,statement DOWN
289,defaultClause TOP
143,QuestionMark DOWN
193,In DOWN
160,assignmentOperator DOWN
270,caseBlock UP
261,caseClauses UP
82,objectLiteral TOP
182,continueStatement TOP
180,lastArgument UP
288,BitXorAssign UP
250,emptyStatement UP
7,classTail TOP
171,While DOWN
172,Continue DOWN
271,Modulus DOWN
126,MultiplyAssign UP
14,formalParameterArg UP
103,expressionSequence TOP
84,Return DOWN
8,classElement DOWN
110,sourceElements TOP
241,breakStatement TOP
299,Catch UP
135,NullLiteral DOWN
243,BitAnd UP
274,BitOrAssign UP
286,LeftShiftArithmetic UP
284,Instanceof UP
18,expressionSequence UP
131,TemplateStringLiteral UP
13,CloseBrace DOWN
202,arrowFunctionParameters DOWN
146,iterationStatement DOWN
296,DivideAssign UP
52,Assign DOWN
73,objectLiteral UP
81,literal UP
214,reservedWord UP
75,PlusPlus DOWN
184,arrowFunctionBody DOWN
245,MinusAssign UP
71,returnStatement TOP
109,variableStatement UP
273,BitOrAssign DOWN
205,Divide DOWN
200,ARROW DOWN
74,formalParameterArg TOP
264,generatorMethod TOP
144,Not DOWN
145,Colon UP
187,IdentityEquals DOWN
170,continueStatement DOWN
11,formalParameterArg DOWN
118,IdentityNotEquals UP
265,generatorMethod DOWN
32,This UP
237,sourceElement TOP
176,BooleanLiteral DOWN
293,MultiplyAssign DOWN
155,CloseBracket UP
227,caseClauses TOP
60,propertyName DOWN
124,LessThanEquals DOWN
269,Default DOWN
213,keyword UP
189,throwStatement DOWN
70,Return UP
306,finallyProduction UP
301,labelledStatement UP
101,statementList DOWN
9,methodDefinition DOWN
22,Dot UP
86,statementList UP
302,labelledStatement DOWN
151,Else DOWN
282,lastArgument TOP
113,variableDeclarationList UP
196,Minus UP
16,methodDefinition UP
140,GreaterThanEquals UP
277,lastElement UP
252,catchProduction DOWN
54,eos UP
204,arrowFunctionParameters TOP
266,Default UP
305,Finally UP
51,Dot DOWN
219,Break DOWN
242,RightShiftArithmetic UP
247,Var DOWN
300,RegularExpressionLiteral UP
174,iterationStatement TOP
248,Function UP
233,breakStatement UP
307,finallyProduction DOWN
107,Delete UP
298,BitOr DOWN
226,caseClause UP
262,Switch DOWN
281,functionDeclaration TOP
285,statement TOP
222,setter TOP
129,propertyAssignment UP
201,arrowFunctionBody TOP
83,returnStatement DOWN
122,varModifier DOWN
207,MoreThan DOWN
94,variableDeclarationList DOWN
188,throwStatement UP
149,LessThan DOWN
28,sourceElement DOWN
240,Break UP
303,Try DOWN
62,Extends DOWN
255,tryStatement UP
55,expressionStatement UP
267,MinusAssign DOWN
308,eos TOP
64,Assign UP
158,arrayLiteral TOP
203,arrowFunctionParameters UP
304,defaultClause UP
253,Try UP
276,keyword DOWN
178,continueStatement UP
42,singleExpression DOWN
194,Equals_ DOWN
208,Divide UP
37,sourceElement UP
33,classDeclaration TOP
249,Function DOWN
91,Const UP
223,Instanceof DOWN
228,caseClause DOWN
246,Var UP
