id,path
3174,169 154 36 89 29 146 171
6665,70 71 58 42 147 159 42 23 12
435,6 2 18 55 36 89 29 99 59
5477,41 49 42 66 106 60 23 12
16900,65 185 2 2 49 5
7745,41 50 2 3 42 144
2152,32 2 2 3 58 42 77 78
9070,70 39 51
5655,212 2 18 96 36 89 29 102 20 21
7176,41 49 42 42 42 42 153
3061,6 45 2 3 42 4 42 77 97 98
17767,145 129 82 106 42 42 210
12621,70 39 59
1193,145 129 73 2 49 42 12
8556,142 2 2 3 42 42 42 42 12
13030,48 114 58 42 42 42 42 42 153
7635,162 2 18 114 29 90 101 29 146 152
1921,64 105 42 58 42 42 23 12
16778,175 2 49 42 42 23 12
13298,6 105 42 66 106 60 78
3315,142 2 3 42 42 42 58 42 12
11491,70 71 58 42 66 106 42 42 210
20620,48 114 58 42 42 42 42 42 210
7507,6 2 2 18 174 5
3029,6 45 2 3 4 42 147 159 47
8435,120 121 81 2 18 2 2 197 47
7143,155 2 2 49 47
19945,6 45 2 2 2 3 4 42 66 31
10605,70 71 58 42 66 106 42 42 205
14998,6 45 2 49 42 10 11 12
14769,141 2 129 73 2 49 5
19714,70 39 78
5225,48 203 3 184 42 137
5311,163 2 3 42 42 58 42 77 78
2459,6 2 2 18 174 21
18090,6 45 2 2 2 3 4 42 66 47
12523,57 2 185 2 112 113 93 20 21
11353,22 2 2 2 3 42 4 42 117
4199,163 2 18 114 29 90 101 29 170 172
2853,108 114 58 42 42 4 42 51
3500,6 2 154 36 89 29 30 58 47
14879,70 39 98
12292,48 203 3 184 42 117
8679,57 50 2 2 2 49 42 66 47
12618,70 39 104
18270,138 2 18 2 3 42 210
10125,142 3 42 58 42 42 42 104
6529,41 50 2 49 42 4 42 77 78
7076,24 88 101 29 102 94 95 42 23 12
18181,155 2 129 82 106 42 4 42 42 12
21520,22 2 3 42 42 42 117
2962,163 2 3 42 42 58 42 77 97 98
11629,108 114 58 42 42 42 58 42 187
12342,6 2 2 3 42 147 159 42 42 12
22332,48 18 55 36 89 29 30 58 42 12
955,24 87 36 89 29 83 58 42 4 59
19635,2 2 3 42 205
9839,24 2 50 2 18 19 20 21
22722,80 81 2 2 3 42 42 42 4 5
2284,41 49 42 42 42 42 104
7795,108 114 58 42 42 4 42 148
12720,6 45 2 2 2 3 42 58 42 117
22302,70 71 58 42 42 4 42 184 31
22203,6 2 3 4 42 58 42 77 97 98
12196,91 92 109 36 89 29 146 122 123
427,63 54 55 36 37 110 28 29 30 20
12230,70 39 135
21209,6 2 154 36 89 29 30 20
18225,120 121 81 2 18 2 3 160 293
8568,24 87 36 96 36 89 29 146 122 123
1299,65 87 36 89 29 83 58 42 23 12
17595,6 45 2 2 2 3 42 58 42 166
20242,70 39 149
8520,217 2 2 18 114 29 90 13
3666,22 2 3 42 42 42 153
20599,24 88 101 29 234 58 42 42 104
1151,65 87 36 89 29 90 101 29 30 20
1672,80 81 2 18 2 112 113 93 20 21
11534,48 50 2 3 205
18063,48 50 2 3 207
2518,6 2 18 55 36 89 29 99 5
20217,6 45 2 3 4 42 42 117
4296,22 2 2 18 55 36 89 29 218 219
12252,41 49 42 42 42 42 12
15762,6 112 113 93 20
20118,48 203 3 184 42 51
16918,32 2 2 3 42 202 59
565,64 3 42 42 42 42 23 12
4063,48 3 58 42 42 4 5
8001,41 18 19 20
11814,155 2 2 3 42 77 176
12726,57 2 2 2 3 132
15292,57 154 36 89 29 30 58 42 42 51
14894,70 39 176
13528,80 81 2 2 18 2 3 137
11373,48 2 2 2 18 3 5
11509,6 45 2 49 42 42 42 42 12
2296,120 121 81 2 2 3 42 42 12
8066,6 2 2 18 2 3 271
2291,6 45 2 3 4 42 42 104
20250,54 55 36 89 29 83 20
7652,162 2 18 114 29 90 101 29 146 21
12212,70 39 187
21815,6 105 42 4 42 42 42 42 23 12
2614,196 2 18 2 3 42 4 59
7632,6 45 2 3 4 42 42 148
7574,6 45 2 3 4 42 42 153
10960,108 114 58 42 42 4 42 153
16265,57 2 3 4 42 12
7559,6 2 2 18 2 49 42 148
11712,41 49 42 42 42 42 51
14329,186 3 42 42 42 77 78
1888,155 2 3 23 12
13232,138 2 2 18 55 36 89 29 83 84
10399,145 226 227 228 101 29 102 94 95 12
3918,6 45 2 3 4 42 42 132
2704,41 82 106 42 42 42 42 12
11496,6 2 3 42 42 66 106 125
11459,24 82 106 42 42 42 4 42 12
14711,48 114 58 42 42 42 42 42 51
10680,6 105 42 147 159 47
20167,6 129 73 2 18 79 36 86 88 13
11803,6 2 2 18 2 49 42 51
13095,24 16 17 7 8 9 215 12
7791,48 114 58 42 42 42 42 42 104
16379,120 121 81 2 2 3 42 42 59
20132,22 2 2 2 3 42 4 42 200
5596,169 154 36 89 29 90 101 29 99 151
21611,6 2 2 18 2 3 210
16171,22 2 2 3 42 42 42 42 42 12
11001,80 81 2 50 2 2 3 42 77 135
20744,136 81 2 49 42 4 42 23 12
16106,155 2 2 3 42 77 135
17155,6 2 2 18 2 3 207
21364,6 45 2 129 82 106 42 42 23 12
13806,48 50 2 2 3 4 42 184 31
6718,48 50 2 2 3 4 42 184 13
10078,22 2 3 4 42 42 147 153
