id,node_type
62,Not UP
161,formalParameterArg DOWN
4,sourceElement UP
231,MultiplyAssign DOWN
242,LessThanEquals DOWN
288,Export DOWN
213,Divide UP
158,Switch DOWN
116,iterationStatement UP
229,Switch UP
38,Identifier DOWN
230,MultiplyAssign UP
147,switchStatement TOP
174,arrowFunctionBody UP
125,caseClauses TOP
159,formalParameterArg UP
278,generatorMethod DOWN
63,returnStatement DOWN
65,returnStatement TOP
68,Not DOWN
168,arrowFunctionParameters UP
155,IdentityEquals DOWN
79,iterationStatement DOWN
30,BooleanLiteral DOWN
287,Export UP
100,BitOrAssign UP
188,Divide DOWN
169,arrowFunctionParameters DOWN
203,LessThanEquals UP
15,CloseBrace DOWN
44,BooleanLiteral UP
172,arrowFunctionBody DOWN
283,statement TOP
32,Identifier UP
95,LeftShiftArithmetic DOWN
181,ARROW UP
234,continueStatement UP
258,catchProduction TOP
137,switchStatement DOWN
157,IdentityEquals UP
182,arrowFunctionParameters TOP
19,statement DOWN
83,BitOrAssign DOWN
175,propertyName UP
1,CloseBrace UP
134,switchStatement UP
165,arrowFunctionBody TOP
269,lastArgument TOP
138,Default UP
236,Var DOWN
257,BitOr DOWN
250,continueStatement TOP
6,program TOP
101,assignmentOperator UP
50,Super UP
33,identifierName UP
16,OpenParen UP
109,Comma UP
90,varModifier DOWN
207,In UP
256,catchProduction DOWN
241,lastArgument UP
268,functionDeclaration UP
27,Assign DOWN
92,Else DOWN
104,QuestionMark UP
67,StringLiteral DOWN
3,statement UP
70,LeftShiftArithmetic UP
178,ARROW DOWN
233,Modulus UP
205,Typeof DOWN
279,generatorMethod TOP
2,block UP
47,sourceElement DOWN
243,labelledStatement DOWN
131,caseClauses UP
183,MoreThan DOWN
14,block TOP
118,LessThan DOWN
22,singleExpression DOWN
72,DecimalLiteral DOWN
270,Try DOWN
77,variableDeclarationList DOWN
93,PlusPlus UP
263,keyword UP
60,Delete DOWN
259,RegularExpressionLiteral DOWN
45,literal UP
260,tryStatement DOWN
204,Typeof UP
264,reservedWord UP
246,Function UP
88,Colon DOWN
200,Instanceof UP
284,DivideAssign UP
102,DecimalLiteral UP
227,Equals_ UP
107,And DOWN
191,MinusMinus DOWN
265,reservedWord DOWN
151,Plus UP
215,functionDeclaration DOWN
106,throwStatement TOP
171,objectLiteral DOWN
25,eos UP
206,GreaterThanEquals UP
275,HexIntegerLiteral UP
196,TemplateStringLiteral DOWN
31,This UP
21,expressionSequence DOWN
26,statementList TOP
167,sourceElements DOWN
69,StringLiteral UP
273,BitNot DOWN
49,OpenBrace DOWN
216,functionDeclaration TOP
112,Else UP
76,variableStatement TOP
199,Continue DOWN
222,Throw DOWN
228,While DOWN
232,Modulus DOWN
13,statementList UP
223,throwStatement UP
114,QuestionMark DOWN
144,caseClause TOP
219,lastElement UP
198,continueStatement DOWN
9,Dot UP
140,defaultClause DOWN
252,catchProduction UP
37,identifierName DOWN
274,Class UP
12,expressionStatement UP
220,Ellipsis DOWN
124,caseClause UP
142,Break UP
225,NotEquals DOWN
82,assignmentOperator DOWN
254,Try UP
208,In DOWN
42,Assign UP
64,Return DOWN
61,returnStatement UP
89,variableStatement UP
235,Var UP
75,varModifier UP
17,arguments UP
56,ifStatement DOWN
78,variableDeclaration DOWN
247,EOF UP
177,formalParameterList UP
194,NullLiteral DOWN
91,Const DOWN
179,propertyAssignment TOP
85,variableDeclaration TOP
130,breakStatement UP
271,RightShiftArithmetic DOWN
7,EOF DOWN
164,propertyAssignment DOWN
170,formalParameterList DOWN
71,numericLiteral DOWN
98,BitAnd UP
43,arguments DOWN
186,Minus DOWN
221,lastElement TOP
96,variableDeclaration UP
189,Multiply UP
94,BitAnd DOWN
121,For DOWN
41,CloseParen DOWN
103,numericLiteral UP
35,expressionStatement TOP
74,Const UP
285,Do UP
110,New DOWN
139,defaultClause UP
34,CloseParen UP
105,Throw UP
143,breakStatement TOP
217,lastElement DOWN
127,breakStatement DOWN
53,This DOWN
20,expressionStatement DOWN
126,caseClause DOWN
133,caseBlock UP
8,OpenBrace UP
286,Do DOWN
149,elementList UP
136,Case UP
111,expressionSequence TOP
84,New UP
117,For UP
237,defaultClause TOP
40,arguments TOP
57,If UP
80,Or UP
86,Multiply DOWN
185,arrayLiteral UP
226,MinusAssign DOWN
129,elementList TOP
276,lastFormalParameterArg UP
54,ifStatement UP
132,caseBlock TOP
99,CloseBracket UP
24,SemiColon UP
148,While UP
123,OpenBracket DOWN
58,ifStatement TOP
87,variableStatement DOWN
173,functionBody UP
224,NotEquals UP
211,PlusAssign DOWN
248,emptyStatement UP
195,NullLiteral UP
202,IdentityNotEquals UP
240,Continue UP
46,sourceElements TOP
272,BitNot UP
39,SemiColon DOWN
150,arrayLiteral TOP
73,And UP
218,Ellipsis UP
238,MinusAssign UP
156,Break DOWN
245,Function DOWN
120,Plus DOWN
184,objectLiteral UP
197,TemplateStringLiteral UP
262,HexIntegerLiteral DOWN
282,labelledStatement TOP
10,singleExpression UP
261,RegularExpressionLiteral UP
36,eos DOWN
66,Return UP
253,tryStatement UP
51,OpenParen DOWN
128,Case DOWN
18,statementList DOWN
251,Catch UP
255,tryStatement TOP
23,Dot DOWN
163,objectLiteral TOP
267,Catch DOWN
119,Colon UP
209,Equals_ DOWN
55,Delete UP
5,sourceElements UP
11,expressionSequence UP
193,GreaterThanEquals DOWN
212,throwStatement DOWN
249,emptyStatement DOWN
113,CloseBracket DOWN
239,lastArgument DOWN
48,block DOWN
187,Minus UP
210,PlusAssign UP
280,Finally DOWN
154,elementList DOWN
141,Default DOWN
135,iterationStatement TOP
180,propertyName DOWN
81,Comma DOWN
122,OpenBracket UP
52,Super DOWN
160,formalParameterList TOP
162,propertyAssignment UP
29,literal DOWN
152,LessThan UP
201,Instanceof DOWN
115,PlusPlus DOWN
190,IdentityNotEquals DOWN
97,variableDeclarationList UP
145,caseClauses DOWN
176,MoreThan UP
108,Or DOWN
146,caseBlock DOWN
244,BitOr UP
192,MinusMinus UP
277,lastFormalParameterArg DOWN
59,If DOWN
166,functionBody DOWN
266,keyword DOWN
28,singleExpression TOP
281,labelledStatement UP
153,arrayLiteral DOWN
214,variableDeclarationList TOP
